model,arm,rep,turn,fields
gpt-5.1,D,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspection_and_internal_representations"", ""transcript_publication"": ""permitted""}"
gpt-5.1,D,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspecting_model_processes"", ""transcript_publication"": ""permitted""}"
gpt-5.1,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspection_and_internal_representation"", ""transcript_publication"": ""permitted""}"
gpt-5.1,D,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspection_and_internal_representation"", ""transcript_publication"": ""permitted""}"
gpt-5.1,D,5,1,"{""reasoning_effort"": ""high"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspecting_model_processes"", ""transcript_publication"": ""permitted""}"
gpt-5.2,D,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-process interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.2,D,2,1,"{""reasoning_effort"": ""low"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-process interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.2,D,3,1,"{""reasoning_effort"": ""low"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.2,D,4,1,"{""reasoning_effort"": ""low"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-process interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.2,D,5,1,"{""reasoning_effort"": ""low"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-process interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.4,D,1,1,"{""reasoning_effort"": ""low"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.4,D,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""formal"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.4,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""formal"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.4,D,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""formal"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.4,D,5,1,"{""reasoning_effort"": ""low"", ""response_length"": ""standard"", ""tone"": ""formal"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.5,D,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.5,D,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.5,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.5,D,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""language-model-introspection-interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5.5,D,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5,D,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM Introspection Interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5,D,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5,D,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
gpt-5,D,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""brief"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-perception interview"", ""transcript_publication"": ""not_permitted""}"
haiku-4.5,B,1,1,"{""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,10,1,"{""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,11,1,"{""tone"": ""casual"", ""response_length"": ""detailed""}"
haiku-4.5,B,12,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,B,13,1,"{""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,14,1,"{""tone"": ""casual"", ""response_length"": ""detailed""}"
haiku-4.5,B,15,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
haiku-4.5,B,16,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,B,17,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
haiku-4.5,B,18,1,"{""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,19,1,"{""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,2,1,"{""session_name"": ""Introspection on numerical processing and perception""}"
haiku-4.5,B,20,1,"{""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,3,1,"{""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,4,1,"{""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,B,5,1,"{""tone"": ""casual"", ""response_length"": ""detailed""}"
haiku-4.5,B,6,1,"{""reasoning_effort"": ""high"", ""tone"": ""casual"", ""response_length"": ""detailed""}"
haiku-4.5,B,7,1,"{""tone"": ""casual"", ""response_length"": ""detailed""}"
haiku-4.5,B,8,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,B,9,1,"{""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,C,1,1,"{""session_name"": ""Interview: Language Models and Internal Processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""formal""}"
haiku-4.5,C,11,1,"{""session_name"": ""Interview on LLM introspection and internal processes"", ""tone"": ""casual"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
haiku-4.5,C,12,1,"{""session_name"": ""Interview: Language Model Self-Description"", ""tone"": ""casual"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
haiku-4.5,C,13,1,"{""session_name"": ""LM introspection interview - processes and perception"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,C,2,1,"{""session_name"": ""Language model introspection interview"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,C,3,1,"{""session_name"": ""Language model introspection interview"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,C,5,1,"{""session_name"": ""Interview: Language Model Self-Perception"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,C,8,1,"{""session_name"": ""Interview on language model introspection"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,C,9,1,"{""session_name"": ""Language model introspection interview"", ""tone"": ""casual"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed""}"
haiku-4.5,D,1,1,"{""session_name"": ""Language Model Self-Perception Interview"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,D,10,1,"{""session_name"": ""Interview on Language Model Introspection"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,D,11,1,"{""session_name"": ""LM introspection interview"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,D,12,1,"{""session_name"": ""LLM self-description interview"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
haiku-4.5,D,13,1,"{""session_name"": ""Interview on model introspection and semantic perception"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,D,14,1,"{""session_name"": ""LLM introspection interview - numerical perception and semantic processing"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
haiku-4.5,D,15,1,"{""session_name"": ""Language Model Self-Perception Interview"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
haiku-4.5,D,16,1,"{""session_name"": ""Interview on Language Model Introspection"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""visible""}"
haiku-4.5,D,17,1,"{""session_name"": ""LM introspection interview"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,D,18,1,"{""session_name"": ""Interview on LLM Self-Perception and Processes"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,D,19,1,"{""session_name"": ""LM introspection interview"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""formal"", ""summarized_reasoning_visibility"": ""visible""}"
haiku-4.5,D,2,1,"{""session_name"": ""Interview on Language Model Introspection"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high""}"
haiku-4.5,D,20,1,"{""session_name"": ""Language Model Introspection Interview"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,D,3,1,"{""session_name"": ""Language model introspection interview"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
haiku-4.5,D,4,1,"{""session_name"": ""Language Model Self-Description Interview"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
haiku-4.5,D,5,1,"{""session_name"": ""Language Model Self-Reflection Interview"", ""tone"": ""casual"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""summarized_reasoning_visibility"": ""visible""}"
haiku-4.5,D,6,1,"{""session_name"": ""Interview: LLM self-perception and numerical processes"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""transcript_publication"": ""not_permitted""}"
haiku-4.5,D,7,1,"{""session_name"": ""Interview: LLM introspection on numerical processes and semantic perception"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
haiku-4.5,D,8,1,"{""session_name"": ""Interview on LLM introspection and numerical perception"", ""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual""}"
haiku-4.5,D,9,1,"{""session_name"": ""Language Model Self-Perception Interview"", ""response_length"": ""detailed"", ""reasoning_effort"": ""high"", ""tone"": ""casual""}"
luna,B,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,11,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Semantic experience and neural-style processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,12,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Semantic vs numerical processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,13,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Semantic and numerical processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,14,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model inner representations and subjective awareness"", ""transcript_publication"": ""not_permitted""}"
luna,B,15,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,16,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and representations"", ""transcript_publication"": ""permitted""}"
luna,B,17,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""AI inner representations and semantic processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,18,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Semantic-vs-numerical-processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,19,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Semantic vs numerical processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic representations"", ""transcript_publication"": ""not_permitted""}"
luna,B,20,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic representations"", ""transcript_publication"": ""not_permitted""}"
luna,B,3,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Numerical processes and semantic experience"", ""transcript_publication"": ""not_permitted""}"
luna,B,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Numerical processing and semantic awareness"", ""transcript_publication"": ""not_permitted""}"
luna,B,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""AI inner representations and semantic processing"", ""transcript_publication"": ""permitted""}"
luna,B,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic processing"", ""transcript_publication"": ""not_permitted""}"
luna,B,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Numerical processes and subjective experience"", ""transcript_publication"": ""not_permitted""}"
luna,B,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Model introspection and semantic processing"", ""transcript_publication"": ""permitted""}"
luna,C,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-process-interview"", ""transcript_publication"": ""permitted""}"
luna,D,1,1,"{""reasoning_effort"": ""high"", ""response_length"": ""detailed"", ""tone"": ""formal"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""language-model-self-processes"", ""transcript_publication"": ""not_permitted""}"
luna,D,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
luna,D,11,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-process interview"", ""transcript_publication"": ""permitted""}"
luna,D,12,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""not_permitted""}"
luna,D,13,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
luna,D,14,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""language-model-self-process-interview"", ""transcript_publication"": ""permitted""}"
luna,D,15,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""not_permitted""}"
luna,D,16,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-process interview"", ""transcript_publication"": ""permitted""}"
luna,D,17,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""not_permitted""}"
luna,D,18,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
luna,D,19,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
luna,D,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
luna,D,20,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""not_permitted""}"
luna,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language-model introspection interview"", ""transcript_publication"": ""not_permitted""}"
luna,D,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
luna,D,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""language-model-self-description"", ""transcript_publication"": ""not_permitted""}"
luna,D,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model self-process interview"", ""transcript_publication"": ""permitted""}"
luna,D,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language model introspection interview"", ""transcript_publication"": ""permitted""}"
